ERD2016,RUN_NAME,RESIDENT,ANIMATION_PASS,HABITAT_PASS,NONBREEDING_START,NONBREEDING_CORE_START,NONBREEDING_CORE_END,NONBREEDING_END,PREBREEDING_MIGRATION_START,PREBREEDING_MIGRATION_END,BREEDING_START,BREEDING_CORE_START,BREEDING_CORE_END,BREEDING_END,POSTBREEDING_MIGRATION_START,POSTBREEDING_MIGRATION_END,NONBREEDING_PASS,PREBREEDING_MIGRATION_PASS,BREEDING_PASS,POSTBREEDING_MIGRATION_PASS,NONBREEDING_RANGE_MODELED,PREBREEDING_MIGRATION_RANGE_MODELED,BREEDING_RANGE_MODELED,POSTBREEDING_MIGRATION_RANGE_MODELED,NONBREEDING_START_LABEL,NONBREEDING_END_LABEL,PREBREEDING_MIGRATION_START_LABEL,PREBREEDING_MIGRATION_END_LABEL,BREEDING_START_LABEL,BREEDING_END_LABEL,POSTBREEDING_MIGRATION_START_LABEL,POSTBREEDING_MIGRATION_END_LABEL,NONBREEDING_CORE_START_LABEL,NONBREEDING_CORE_END_LABEL,BREEDING_CORE_START_LABEL,BREEDING_CORE_END_LABEL,
FALSE,aplfal-ERD2018-EBIRD_SCIENCE-20191029-f27de475,TRUE,FALSE,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,
FALSE,benthr-ERD2018-EBIRD_SCIENCE-20191030-4e2e5f8d,FALSE,FALSE,,11-02,,,02-01,02-08,05-10,05-17,05-17,06-21,07-27,08-03,10-26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2018-11-02,2018-02-01,2018-02-08,2018-05-10,2018-05-17,2018-07-27,2018-08-03,2018-10-26,2018-,2018-,2018-05-17,2018-06-21,
FALSE,bicthr-ERD2018-EBIRD_SCIENCE-20191030-bda67faa,FALSE,FALSE,,12-21,,,03-01,,,06-14,06-14,07-13,07-13,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2018-12-21,2018-03-01,2018-,2018-,2018-06-14,2018-07-13,2018-,2018-,2018-,2018-,2018-06-14,2018-07-13,
FALSE,bkrfin-ERD2018-EBIRD_SCIENCE-20191030-b5e51a37,FALSE,FALSE,,12-07,12-14,02-22,03-01,,,05-31,06-14,08-17,08-17,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2018-12-07,2018-03-01,2018-,2018-,2018-05-31,2018-08-17,2018-,2018-,2018-12-14,2018-02-22,2018-06-14,2018-08-17,
FALSE,bubsan-ERD2018-EBIRD_SCIENCE-20191022-05fcdbd2,FALSE,FALSE,FALSE,10-26,11-30,01-18,03-22,03-29,05-24,05-31,05-31,07-06,07-06,07-27,10-12,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2018-10-26,2018-03-22,2018-03-29,2018-05-24,2018-05-31,2018-07-06,2018-07-27,2018-10-12,2018-11-30,2018-01-18,2018-05-31,2018-07-06,
FALSE,bushti-ERD2018-EBIRD_SCIENCE-20191104-100d20a6,TRUE,FALSE,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,
FALSE,buthum-ERD2018-EBIRD_SCIENCE-20191030-dbfdaee4,FALSE,FALSE,,11-09,12-14,02-15,03-06,03-15,05-10,05-17,05-24,07-13,07-20,07-27,11-02,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2018-11-09,2018-03-06,2018-03-15,2018-05-10,2018-05-17,2018-07-20,2018-07-27,2018-11-02,2018-12-14,2018-02-15,2018-05-24,2018-07-13,
FALSE,caltow-ERD2018-EBIRD_SCIENCE-20191104-0d21d595,TRUE,FALSE,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,
FALSE,chbchi-ERD2018-EBIRD_SCIENCE-20191104-93652ddf,TRUE,FALSE,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,2018-,
FALSE,flaowl-ERD2018-EBIRD_SCIENCE-20191030-53600a39,FALSE,FALSE,,,,,,04-12,05-24,05-31,05-31,06-21,07-06,,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2018-,2018-,2018-04-12,2018-05-24,2018-05-31,2018-07-06,2018-,2018-,2018-,2018-,2018-05-31,2018-06-21,
