SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME
abetow,Melozone_aberti,Abert's_Towhee
absfin1,Phrygilus_plebejus,Ash-breasted_Sierra-Finch
abttyr1,Anairetes_alpinus,Ash-breasted_Tit-Tyrant
acafly,Empidonax_virescens,Acadian_Flycatcher
acowoo,Melanerpes_formicivorus,Acorn_Woodpecker
acrant1,Thamnophilus_divisorius,Acre_Antshrike
acrtot1,Hemitriccus_cohnhafti,Acre_Tody-Tyrant
adepen1,Pygoscelis_adeliae,Adelie_Penguin
adewar1,Setophaga_adelaidae,Adelaide's_Warbler
afcdov1,Streptopelia_roseogrisea,African_Collared-Dove
afrsil1,Euodice_cantans,African_Silverbill
agaher1,Agamia_agami,Agami_Heron
agitit1,Uromyias_agilis,Agile_Tit-Tyrant
ajpant1,Herpsilochmus_stotzi,Aripuana_Antwren
akekee,Loxops_caeruleirostris,Akekee
akepa1,Loxops_coccineus,Hawaii_Akepa
akepa3,Loxops_ochraceus,Maui_Akepa
akiapo,Hemignathus_wilsoni,Akiapolaau
akikik,Oreomystis_bairdi,Akikiki
alaant1,Myrmotherula_snowi,Alagoas_Antwren
alatyr1,Phylloscartes_ceciliae,Alagoas_Tyrannulet
aldfly,Empidonax_alnorum,Alder_Flycatcher
aleter1,Onychoprion_aleuticus,Aleutian_Tern
alfant1,Hylopezus_whittakeri,Alta_Floresta_Antpitta
allant1,Percnostola_arenarum,Allpahuayo_Antbird
allhum,Selasphorus_sasin,Allen's_Hummingbird
alpswi1,Apus_melba,Alpine_Swift
altori,Icterus_gularis,Altamira_Oriole
altyel1,Geothlypis_flavovelata,Altamira_Yellowthroat
amaant1,Hylopezus_berlepschi,Amazonian_Antpitta
amaant2,Thamnophilus_amazonicus,Amazonian_Antshrike
amabaw1,Dendrocolaptes_certhia,Amazonian_Barred-Woodcreeper
amahum1,Amazilia_amazilia,Amazilia_Hummingbird
amakin1,Chloroceryle_amazona,Amazon_Kingfisher
amapar1,Nannopsittaca_dachilleae,Amazonian_Parrotlet
amapyo1,Glaucidium_hardyi,Amazonian_Pygmy-Owl
amasta1,Myrmotherula_multostriata,Amazonian_Streaked-Antwren
amaswi1,Chaetura_viridipennis,Amazonian_Swift
amatyr1,Inezia_subflava,Amazonian_Tyrannulet
amaumb1,Cephalopterus_ornatus,Amazonian_Umbrellabird
ambduc,Anas_rubripes,American_Black_Duck
ambtyr1,Knipolegus_poecilocercus,Amazonian_Black-Tyrant
ameavo,Recurvirostra_americana,American_Avocet
amebit,Botaurus_lentiginosus,American_Bittern
amecro,Corvus_brachyrhynchos,American_Crow
amedip,Cinclus_mexicanus,American_Dipper
amegfi,Spinus_tristis,American_Goldfinch
amekes,Falco_sparverius,American_Kestrel
ameoys,Haematopus_palliatus,American_Oystercatcher
amepip,Anthus_rubescens,American_Pipit
amered,Setophaga_ruticilla,American_Redstart
amerob,Turdus_migratorius,American_Robin
amewig,Anas_americana,American_Wigeon
amewoo,Scolopax_minor,American_Woodcock
amewoo1,Calliphlox_amethystina,Amethyst_Woodstar
amgplo,Pluvialis_dominica,American_Golden-Plover
ampkin1,Chloroceryle_aenea,American_Pygmy_Kingfisher
amsfly1,Sublegatus_obscurior,Amazonian_Scrub-Flycatcher
amthum1,Lampornis_amethystinus,Amethyst-throated_Hummingbird
amtspa,Spizelloides_arborea,American_Tree_Sparrow
amtsun1,Heliangelus_amethysticollis,Amethyst-throated_Sunangel
amwpel,Pelecanus_erythrorhynchos,American_White_Pelican
anbtyr1,Phylloscartes_lanyoni,Antioquia_Bristle-Tyrant
ancant1,Herpsilochmus_gentryi,Ancient_Antwren
anchum1,Orthorhyncus_cristatus,Antillean_Crested_Hummingbird
ancmur,Synthliboramphus_antiquus,Ancient_Murrelet
anctap1,Scytalopus_affinis,Ancash_Tapaculo
andavo1,Recurvirostra_andina,Andean_Avocet
andcon1,Vultur_gryphus,Andean_Condor
andcot1,Rupicola_peruvianus,Andean_Cock-of-the-rock
andeme1,Amazilia_franciae,Andean_Emerald
andfla2,Phoenicoparrus_andinus,Andean_Flamingo
andfli1,Colaptes_rupicola,Andean_Flicker
andgoo1,Oressochen_melanopterus,Andean_Goose
andgua1,Penelope_montagnii,Andean_Guan
andgul1,Chroicocephalus_serranus,Andean_Gull
andhil1,Oreotrochilus_estella,Andean_Hillstar
andlap1,Vanellus_resplendens,Andean_Lapwing
andneg1,Lessonia_oreas,Andean_Negrito
andpar1,Bolborhynchus_orbygnesius,Andean_Parakeet
andpot1,Nyctibius_maculosus,Andean_Potoo
andsis1,Spinus_spinescens,Andean_Siskin
andsni1,Gallinago_jamesoni,Jameson's_Snipe
andsol1,Myadestes_ralloides,Andean_Solitaire
andswa2,Orochelidon_andecola,Andean_Swallow
andswi1,Aeronautes_andecolus,Andean_Swift
andtin1,Nothoprocta_pentlandii,Andean_Tinamou
andtyr2,Knipolegus_cabanisi,Plumbeous_Black-Tyrant
andtyr3,Knipolegus_signatus,Jelski's_Black-Tyrant
angpet1,Macronectes_giganteus,Southern_Giant-Petrel
anhing,Anhinga_anhinga,Anhinga
aniani,Magumma_parva,Anianiau
annhum,Calypte_anna,Anna's_Hummingbird
anpowl1,Glaucidium_jardinii,Andean_Pygmy-Owl
anpswi,Tachornis_phoenicobia,Antillean_Palm-Swift
antant1,Grallaria_urraoensis,Urrao_Antpitta
anteup1,Euphonia_musica,Antillean_Euphonia
antman1,Anthracothorax_dominicus,Antillean_Mango
antnig,Chordeiles_gundlachii,Antillean_Nighthawk
antpet1,Thalassoica_antarctica,Antarctic_Petrel
antpic1,Nesoctites_micromegas,Antillean_Piculet
antsha1,Phalacrocorax_bransfieldensis,Antarctic_Shag
antsis1,Spinus_dominicensis,Antillean_Siskin
antspi1,Leptasthenura_andicola,Andean_Tit-Spinetail
antter1,Sterna_vittata,Antarctic_Tern
antwre2,Thryophilus_sernai,Antioquia_Wren
apapan,Himatione_sanguinea,Apapane
apifly1,Myiarchus_apicalis,Apical_Flycatcher
aplfal,Falco_femoralis,Aplomado_Falcon
apowre1,Cistothorus_apolinari,Apolinar's_Wren
apubrf1,Atlapetes_forbesi,Apurimac_Brushfinch
apuspi1,Synallaxis_courseni,Apurimac_Spinetail
araman1,Antilophia_bokermanni,Araripe_Manakin
arcloo,Gavia_arctica,Arctic_Loon
arcter,Sterna_paradisaea,Arctic_Tern
arcwar1,Phylloscopus_borealis,Arctic_Warbler
arcwar2,Phylloscopus_examinandus,Kamchatka_Leaf_Warbler
ariwoo,Picoides_arizonae,Arizona_Woodpecker
arrpic1,Picumnus_minutissimus,Arrowhead_Piculet
arrwar1,Setophaga_pharetra,Arrowhead_Warbler
artspi1,Leptasthenura_setaria,Araucaria_Tit-Spinetail
asbant1,Myrmoborus_lugubris,Ash-breasted_Antbird
asbfly,Muscicapa_dauurica,Asian_Brown_Flycatcher
asbspi1,Cranioleuca_curtata,Ash-browed_Spinetail
asccuc1,Coccycua_cinerea,Ash-colored_Cuckoo
asctap1,Myornis_senilis,Ash-colored_Tapaculo
asfowl1,Tyto_glaucops,Ashy-faced_Owl
ashant1,Myrmotherula_grisea,Ashy_Antwren
ashgoo1,Chloephaga_poliocephala,Ashy-headed_Goose
ashgre1,Hylophilus_pectoralis,Ashy-headed_Greenlet
ashtyr1,Phyllomyias_cinereiceps,Ashy-headed_Tyrannulet
asspet,Oceanodroma_homochroa,Ashy_Storm-Petrel
astant1,Herpsilochmus_parkeri,Ash-throated_Antwren
astcas2,Casiornis_fuscus,Ash-throated_Casiornis
astcra1,Mustelirallus_albicollis,Ash-throated_Crake
astfly,Myiarchus_cinerascens,Ash-throated_Flycatcher
astgna1,Conopophaga_peruviana,Ash-throated_Gnateater
aswant1,Euchrepomis_spodioptila,Ash-winged_Antwren
atbtan1,Chlorospingus_canigularis,Ashy-throated_Chlorospingus
atfdov1,Ptilinopus_coralensis,Atoll_Fruit-Dove
atigre1,Podilymbus_gigas,Atitlan_Grebe
atiswi1,Aerodramus_sawtelli,Atiu_Swiftlet
atlpet1,Pterodroma_incerta,Atlantic_Petrel
atlpuf,Fratercula_arctica,Atlantic_Puffin
attwoo1,Picoides_dorsalis,American_Three-toed_Woodpecker
audori,Icterus_graduacauda,Audubon's_Oriole
audshe,Puffinus_lherminieri,Audubon's_Shearwater
audshe3,Puffinus_subalaris,Galapagos_Shearwater
aupowl1,Glaucidium_nana,Austral_Pygmy-Owl
ausbla1,Curaeus_curaeus,Austral_Blackbird
