variable,description,unit,label
cds_u10,"wind speed, e-w direction, > 0 from west",m/s,Wind Speed (E-W)
cds_v10,"wind speed, n-s direction, > 0 from south",m/s,Wind Speed (N-S)
cds_i10fg,instantaneous wind gust,m/s,Wind Gust
cds_d2m,dewpoint temperature,celcius,Dewpoint
cds_t2m,temperature,celcius,Temperature
cds_cbh,cloud base height,m,Cloud Base Height
cds_hcc,high cloud cover,%,High Cloud Cover
cds_mcc,medium cloud cover,%,Medium Cloud Cover
cds_lcc,low cloud cover,%,Low Cloud Cover
cds_msl,"sea level pressure, mean",Pa,Sea Level Pressure (Mean)
cds_slc,"sea level pressure, change",Pa,Sea Level Pressure (Change)
cds_sf,"snow fall, water equivalent",m,Snowfall
cds_rf,rain fall,m,Rainfall
cds_tp,total precipitation,m,Total Precipitation
