band,date
1,2020-01-04
2,2020-01-11
3,2020-01-18
4,2020-01-25
5,2020-02-01
6,2020-02-08
7,2020-02-15
8,2020-02-22
9,2020-03-01
10,2020-03-08
11,2020-03-15
12,2020-03-22
13,2020-03-29
14,2020-04-05
15,2020-04-12
16,2020-04-19
17,2020-04-26
18,2020-05-03
19,2020-05-10
20,2020-05-17
21,2020-05-24
22,2020-05-31
23,2020-06-07
24,2020-06-14
25,2020-06-21
26,2020-06-28
27,2020-07-06
28,2020-07-13
29,2020-07-20
30,2020-07-27
31,2020-08-03
32,2020-08-10
33,2020-08-17
34,2020-08-24
35,2020-08-31
36,2020-09-07
37,2020-09-14
38,2020-09-21
39,2020-09-28
40,2020-10-05
41,2020-10-12
42,2020-10-19
43,2020-10-26
44,2020-11-02
45,2020-11-09
46,2020-11-16
47,2020-11-23
48,2020-11-30
49,2020-12-07
50,2020-12-14
51,2020-12-21
52,2020-12-28
